thr,TN,FP,FN,TP,recall,spec,prec,npv,acc,bal,f1
0.4149999999999999,130,101,25,122,0.8299319727891157,0.5627705627705628,0.547085201793722,0.8387096774193549,0.6666666666666666,0.6963512677798392,0.6594594594594595
0.41999999999999993,132,99,26,121,0.8231292517006803,0.5714285714285714,0.55,0.8354430379746836,0.6693121693121693,0.6972789115646258,0.659400544959128
0.42499999999999993,133,98,26,121,0.8231292517006803,0.5757575757575758,0.5525114155251142,0.8364779874213837,0.671957671957672,0.6994434137291281,0.6612021857923497
0.42999999999999994,137,94,26,121,0.8231292517006803,0.5930735930735931,0.5627906976744186,0.8404907975460123,0.6825396825396826,0.7081014223871367,0.6685082872928176
0.43499999999999994,138,93,27,120,0.8163265306122449,0.5974025974025974,0.5633802816901409,0.8363636363636363,0.6825396825396826,0.7068645640074211,0.6666666666666666
0.43999999999999995,139,92,27,120,0.8163265306122449,0.6017316017316018,0.5660377358490566,0.8373493975903614,0.6851851851851852,0.7090290661719234,0.6685236768802229
0.44499999999999995,141,90,27,120,0.8163265306122449,0.6103896103896104,0.5714285714285714,0.8392857142857143,0.6904761904761905,0.7133580705009277,0.6722689075630253
0.4499999999999999,142,89,30,117,0.7959183673469388,0.6147186147186147,0.5679611650485437,0.8255813953488372,0.6851851851851852,0.7053184910327768,0.6628895184135978
0.4549999999999999,144,87,30,117,0.7959183673469388,0.6233766233766234,0.5735294117647058,0.8275862068965517,0.6904761904761905,0.7096474953617811,0.6666666666666666
0.4599999999999999,148,83,30,117,0.7959183673469388,0.6406926406926406,0.585,0.8314606741573034,0.701058201058201,0.7183055040197897,0.6743515850144092
0.4649999999999999,148,83,31,116,0.7891156462585034,0.6406926406926406,0.5829145728643216,0.8268156424581006,0.6984126984126984,0.7149041434755721,0.6705202312138728
0.4699999999999999,150,81,32,115,0.782312925170068,0.6493506493506493,0.5867346938775511,0.8241758241758241,0.701058201058201,0.7158317872603587,0.6705539358600583
0.4749999999999999,152,79,33,114,0.7755102040816326,0.658008658008658,0.5906735751295337,0.8216216216216217,0.7037037037037037,0.7167594310451453,0.6705882352941176
0.4799999999999999,155,76,33,114,0.7755102040816326,0.670995670995671,0.6,0.824468085106383,0.7116402116402116,0.7232529375386518,0.6765578635014837
0.48499999999999993,157,74,33,114,0.7755102040816326,0.6796536796536796,0.6063829787234043,0.8263157894736842,0.716931216931217,0.7275819418676561,0.6805970149253732
0.48999999999999994,158,73,33,114,0.7755102040816326,0.683982683982684,0.6096256684491979,0.8272251308900523,0.7195767195767195,0.7297464440321584,0.6826347305389222
0.49499999999999994,162,69,33,114,0.7755102040816326,0.7012987012987013,0.6229508196721312,0.8307692307692308,0.7301587301587301,0.738404452690167,0.6909090909090909
0.49999999999999994,162,69,33,114,0.7755102040816326,0.7012987012987013,0.6229508196721312,0.8307692307692308,0.7301587301587301,0.738404452690167,0.6909090909090909
0.5049999999999999,163,68,34,113,0.7687074829931972,0.7056277056277056,0.6243093922651933,0.8274111675126904,0.7301587301587301,0.7371675943104514,0.6890243902439024
0.5099999999999999,165,66,34,113,0.7687074829931972,0.7142857142857143,0.6312849162011173,0.8291457286432161,0.7354497354497355,0.7414965986394557,0.6932515337423313
0.5149999999999999,165,66,35,112,0.7619047619047619,0.7142857142857143,0.6292134831460674,0.825,0.7328042328042328,0.7380952380952381,0.6892307692307692
0.5199999999999999,167,64,37,110,0.7482993197278912,0.7229437229437229,0.632183908045977,0.8186274509803921,0.7328042328042328,0.735621521335807,0.6853582554517134
0.5249999999999999,168,63,39,108,0.7346938775510204,0.7272727272727273,0.631578947368421,0.8115942028985508,0.7301587301587301,0.7309833024118739,0.6792452830188679
0.5299999999999999,168,63,39,108,0.7346938775510204,0.7272727272727273,0.631578947368421,0.8115942028985508,0.7301587301587301,0.7309833024118739,0.6792452830188679
0.5349999999999999,168,63,39,108,0.7346938775510204,0.7272727272727273,0.631578947368421,0.8115942028985508,0.7301587301587301,0.7309833024118739,0.6792452830188679
0.5399999999999999,168,63,40,107,0.7278911564625851,0.7272727272727273,0.6294117647058823,0.8076923076923077,0.7275132275132276,0.7275819418676561,0.6750788643533123
0.5449999999999999,168,63,40,107,0.7278911564625851,0.7272727272727273,0.6294117647058823,0.8076923076923077,0.7275132275132276,0.7275819418676561,0.6750788643533123
0.5499999999999999,169,62,41,106,0.7210884353741497,0.7316017316017316,0.6309523809523809,0.8047619047619048,0.7275132275132276,0.7263450834879406,0.6730158730158731
0.5549999999999999,170,61,41,106,0.7210884353741497,0.7359307359307359,0.6347305389221557,0.8056872037914692,0.7301587301587301,0.7285095856524428,0.6751592356687898
0.5599999999999999,172,59,41,106,0.7210884353741497,0.7445887445887446,0.6424242424242425,0.8075117370892019,0.7354497354497355,0.7328385899814471,0.6794871794871795
0.565,173,58,44,103,0.7006802721088435,0.7489177489177489,0.639751552795031,0.7972350230414746,0.7301587301587301,0.7247990105132962,0.6688311688311688
0.57,175,56,44,103,0.7006802721088435,0.7575757575757576,0.6477987421383647,0.7990867579908676,0.7354497354497355,0.7291280148423005,0.673202614379085
0.575,176,55,44,103,0.7006802721088435,0.7619047619047619,0.6518987341772152,0.8,0.7380952380952381,0.7312925170068028,0.6754098360655738
0.58,178,53,44,103,0.7006802721088435,0.7705627705627706,0.6602564102564102,0.8018018018018018,0.7433862433862434,0.735621521335807,0.6798679867986799
